count,account
28,\DINA
28,\PHIL
28,\MICHAL
28,\JULIEN
28,\TECHNIQUE
28,\JANE
28,\OFICINA
28,\GUSTAVO
28,\ASP.IIS
28,\ACC
28,\USER10
27,\ADMINISTRATOR1
27,\BKPADMIN
27,\CLOUD
27,\TATI
27,\OPENPGSVC
27,\INVITE
27,\CUSTOMERSERVICE
27,\VAGRANT
27,\WWW
27,\SHOP1
27,\EDI
27,\CHARLOTTE
27,\EMMA
27,\RECEPCE
27,\ACCOUNTS1
27,\NAMED
27,\DEMO2
27,\MSSQL
27,\LUCA
27,\PAOLO
27,\WORKER
27,\ALINA
27,\STEFANO
27,\SECRETAIRE
27,\BORIS
27,\STEPHANE
27,\PHILIPPE
27,\LAURENCE
27,\LOUIS
27,\AMAZON
27,\SABINE
27,\SKY
27,\DBUSER
27,\CHRISTOPHE
27,\FEDERICO
27,\FELIX
27,\JIMMY
27,\ROMAN
27,\LUC
27,\MARISA
27,\DIRK
27,\SALVO
27,\DESK
27,\MELANIE
27,\VPN2
27,\AUTO
27,\ABEL
27,\PAULA
27,\CARLA
27,\LUCAS
27,\PC2
26,\SCAN1
26,\TEMPUSER
26,\TERMINAL
26,\COMPTABLE
26,\BANCO
26,\STUDENT1
26,\SYED
26,\LENA
26,\MAGAZIN
26,\NEWS
26,\PI
26,\PROJECT
26,\SIEMENS
26,\SOPHOS
26,\INSPECTOR
26,\GLAVBUH
26,\RADMIN
26,\FRANCESCO
26,\ASSISTENZA
26,\DISTANT
26,\GIOVANNI
26,\DIDIER
26,\OPS
26,\ANDI
26,\ALFONSO
26,\USERFTP
26,\RETAIL
26,\WEBSERVICE
26,\KIKI
26,\DALIA
26,\MORGAN
26,\WEBSITE
26,\ASSISTANTE
26,\KARL
26,\BABU
26,\ALEXIS
26,\GABRIELE
26,\ADMINLOCAL
26,\MIRKO
26,\EMILIE
26,\ALE
26,\STEPHAN
26,\EDITOR
26,\LARA
26,\VALERIE
26,\SCOTT
26,\ANDY
26,\SHARON
26,\MELISSA
26,\JUNIOR
25,\TRANSFER
25,\ADMINTEST
25,\ARTUR
25,\MARKO
25,\USUARIO01
25,\SAMEER
25,\EKONOMI
25,\LINUX
25,\WMS
25,\SYSTEM1
25,\DOCTOR
25,\DATABASE
25,\FTP1
25,\MINECRAFT
25,\TOMCAT
25,\ANONYMOUS
25,\USR
25,\SICHERUNG
25,\GRAPHICS
25,\VPNTEST
25,\VERWALTUNG
25,\BACKUP_SERVICE
25,\KASSA2
25,\TASK
25,\KOPIERER
25,\MED
25,\SYSADM
25,\HARRIS
25,\ANNETTE
25,\TREVOR
25,\SKLAD2
25,\USER001
25,\ADMINIS
25,\ADMIN4
25,\OLIVIER
25,\FRANCESCA
25,\DOC
25,\SP_FARM
25,\FABRICE
25,\MANAGEMENT
25,\DAVIDE
25,\FREDERIC
25,\PROGRAMMER
25,\DORIS
25,\UPLOAD
25,\BERNARD
25,\APPUSER
25,\EMMANUEL
25,\CASSA
25,\EBAY
25,\SCADA
25,\FABIEN
25,\CELINE
25,\CLAUDE
25,\ROBOT
25,\MILAN
25,\ATIRAN
25,\ADAMS
25,\GERALD
25,\KAI
25,\VALENTINA
25,\MAILSERVER
25,\FTPSERVER
25,\SAMI
25,\BAHAR
25,\TSE1
25,\LARS
25,\ISABELLA
25,\ATLAS
25,\GREG
25,\JULIO
25,\ALMOXARIFADO
25,\ESTOQUE
25,\RH
24,\UFFICIO
24,\WPSERVER
24,\MARCELLO
24,\LOCAL
24,\WAREHOUSE1
24,\REPORTUSER
24,\LIMITED
24,\MAXIM
24,\DB2INST1
24,\ADMINADMIN
24,\BUH1
24,\TECHNIK
24,\KASSA1
24,\BD
24,\SMB
24,\HANNAH
24,\LUCY
24,\OLIVIA
24,\SONY
24,\COMMERCIALE
24,\FRANCOISE
24,\FILE
24,\CAMILO
24,\GATEWAY
24,\POLICIA
24,\POSTE
24,\USERZ
24,\ANWENDER
24,\MATTEO
24,\SBSADMIN
24,\LORENZO
24,\MEXAL
24,\NETUSER
24,\MASSIMO
24,\PROVA
24,\OPERATORE
24,\REX
24,\BUS
24,\REMOTEADMIN
24,\KOSTAS
24,\IADMIN
24,\FILESHARE
24,\VERKAUF
